Date,SP500,DowJones,Nasdaq
1990-01-02,359.69,2810.15,459.33
1990-01-03,358.76,2809.73,460.9
1990-01-04,355.67,2796.08,459.39
1990-01-05,352.2,2773.25,458.22
1990-01-06,,,
1990-01-08,353.79,2794.37,458.71
1990-01-09,349.62,2766.0,456.77
1990-01-10,347.31,2750.64,450.7
1990-01-11,348.53,2760.67,448.86
1990-01-12,339.93,2689.21,439.72
1990-01-13,,,
1990-01-15,337.0,2669.37,436.64
1990-01-16,340.75,2692.62,440.16
1990-01-17,337.4,2659.13,438.68
1990-01-18,338.19,2666.38,437.52
1990-01-19,339.15,2677.9,440.88
1990-01-20,,,
1990-01-22,330.38,2600.45,431.94
1990-01-23,331.61,2615.32,430.42
1990-01-24,330.26,2604.5,425.66
1990-01-25,326.08,2561.04,425.24
1990-01-26,325.8,2559.23,421.33
1990-01-29,325.2,2553.38,418.11
1990-01-30,322.98,2543.24,410.72
1990-01-31,329.08,2590.54,415.81
1990-02-01,328.79,2586.26,417.76
1990-02-02,330.92,2602.7,422.21
1990-02-03,,,
1990-02-05,331.85,2622.52,424.73
1990-02-06,329.66,2606.31,423.99
1990-02-07,333.75,2640.09,426.79
1990-02-08,332.96,2644.37,427.32
1990-02-09,333.62,2648.2,428.84
1990-02-10,,,
1990-02-12,330.08,2619.14,426.38
1990-02-13,331.02,2624.1,425.75
1990-02-14,332.01,2624.32,426.56
1990-02-15,334.89,2649.55,429.61
1990-02-16,332.72,2635.59,429.01
1990-02-17,,,
1990-02-19,,,
1990-02-20,327.99,2596.85,423.83
1990-02-21,327.67,2583.56,421.52
1990-02-22,325.7,2574.77,422.75
1990-02-23,324.15,2564.19,419.52
1990-02-24,,,
1990-02-26,328.67,2602.48,420.95
1990-02-27,330.26,2617.12,422.61
1990-02-28,331.89,2627.25,425.83
1990-03-01,332.74,2635.59,427.21
1990-03-02,335.54,2660.36,431.02
1990-03-03,,,
1990-03-05,333.74,2649.55,430.15
1990-03-06,337.93,2676.8,432.33
1990-03-07,336.95,2669.59,432.47
1990-03-08,340.27,2696.17,436.5
1990-03-09,337.93,2683.33,436.76
1990-03-12,338.67,2686.71,436.56
1990-03-13,336.0,2674.55,434.58
1990-03-14,336.87,2687.84,436.15
1990-03-15,338.07,2695.72,438.06
1990-03-16,341.91,2741.22,442.16
1990-03-17,,,
1990-03-19,343.53,2755.63,442.91
1990-03-20,341.57,2738.74,440.08
1990-03-21,339.74,2727.93,439.3
1990-03-22,335.69,2695.72,434.51
1990-03-23,337.22,2704.28,437.25
1990-03-24,,,
1990-03-26,337.63,2707.66,438.84
1990-03-27,341.5,2736.94,439.5
1990-03-28,342.0,2743.69,436.69
1990-03-29,340.79,2727.7,435.42
1990-03-30,339.94,2707.21,435.54
1990-03-31,,,
1990-04-02,338.7,2700.45,433.18
1990-04-03,343.64,2736.71,437.65
1990-04-04,341.09,2719.37,435.42
1990-04-05,340.73,2721.17,433.42
1990-04-06,340.08,2717.12,430.9
1990-04-07,,,
1990-04-09,341.37,2722.07,430.18
1990-04-10,342.07,2731.08,431.9
1990-04-11,341.92,2729.73,433.53
1990-04-12,344.34,2751.8,436.31
1990-04-13,,,
1990-04-14,,,
1990-04-16,344.74,2763.06,436.7
1990-04-17,344.68,2765.77,435.42
1990-04-18,340.72,2732.88,431.52
1990-04-19,338.09,2711.94,429.0
1990-04-20,335.12,2695.95,425.79
1990-04-21,,,
1990-04-23,331.05,2666.67,420.08
1990-04-24,330.36,2654.5,419.19
1990-04-25,332.03,2666.44,420.56
1990-04-26,332.92,2676.58,421.06
1990-04-27,329.11,2645.05,417.98
1990-04-28,,,
1990-04-30,330.8,2656.76,420.07
1990-05-01,332.25,2668.92,421.84
1990-05-02,334.48,2689.64,423.58
1990-05-03,335.57,2696.17,425.44
1990-05-04,338.39,2710.36,428.61
1990-05-07,340.53,2721.62,431.23
1990-05-08,342.01,2733.56,431.84
1990-05-09,342.86,2732.88,431.34
1990-05-10,343.82,2738.51,433.2
1990-05-11,352.0,2801.58,438.1
1990-05-12,,,
1990-05-14,354.75,2821.53,441.61
1990-05-15,354.28,2822.45,442.5
1990-05-16,354.0,2819.68,442.93
1990-05-17,354.47,2831.71,445.74
1990-05-18,354.64,2819.91,448.31
1990-05-19,,,
1990-05-21,358.0,2844.68,452.89
1990-05-22,358.43,2852.23,453.89
1990-05-23,359.29,2856.26,456.87
1990-05-24,358.41,2855.55,458.29
1990-05-25,354.58,2820.92,453.69
1990-05-26,,,
1990-05-28,,,
1990-05-29,360.65,2870.49,457.51
1990-05-30,360.86,2878.56,458.77
1990-05-31,361.23,2876.66,458.97
1990-06-01,363.16,2900.97,462.13
1990-06-02,,,
1990-06-04,367.4,2935.19,465.61
1990-06-05,366.64,2925.0,464.61
1990-06-06,364.96,2911.65,464.96
1990-06-07,363.15,2897.33,464.09
1990-06-08,358.71,2862.38,460.87
1990-06-09,,,
1990-06-11,361.63,2892.57,462.79
1990-06-12,366.25,2933.42,466.56
1990-06-13,364.9,2929.7,468.86
1990-06-14,362.9,2928.22,467.1
1990-06-15,362.91,2935.89,467.55
1990-06-16,,,
1990-06-18,356.88,2882.18,460.79
1990-06-19,358.47,2893.56,460.53
1990-06-20,359.1,2895.3,460.8
1990-06-21,360.47,2901.73,461.27
1990-06-22,355.43,2857.18,459.33
1990-06-23,,,
1990-06-25,352.31,2845.05,455.64
1990-06-26,352.06,2842.33,455.38
1990-06-27,355.14,2862.13,456.89
1990-06-28,357.63,2878.71,460.38
1990-06-29,358.02,2880.69,462.29
1990-06-30,,,
1990-07-02,359.54,2899.26,462.04
1990-07-03,360.16,2911.63,461.76
1990-07-04,,,
1990-07-05,355.68,2879.21,459.19
1990-07-06,358.42,2904.95,460.53
1990-07-07,,,
1990-07-09,359.52,2914.11,461.68
1990-07-10,356.49,2890.84,460.97
1990-07-11,361.23,2932.67,463.9
1990-07-12,365.44,2969.8,467.17
1990-07-13,367.31,2980.2,468.44
1990-07-14,,,
1990-07-16,368.95,2999.75,469.6
1990-07-17,367.52,2999.75,464.48
