Date,KOSPI,Nikkei225,HangSeng
1990-01-02,,,2838.07
1990-01-03,908.59,,2858.72
1990-01-04,928.82,38712.88,2867.95
1990-01-05,915.11,38274.76,2839.94
1990-01-06,912.86,,
1990-01-08,919.46,38294.96,2816.24
1990-01-09,920.21,37951.46,2822.16
1990-01-10,911.48,37696.51,2868.0
1990-01-11,903.27,38170.13,2855.52
1990-01-12,903.11,37516.77,2835.94
1990-01-13,893.47,,
1990-01-15,883.04,,2786.69
1990-01-16,883.43,36850.36,2751.79
1990-01-17,874.41,36821.14,2754.84
1990-01-18,874.81,36729.46,2771.67
1990-01-19,868.2,36836.54,2776.29
1990-01-20,872.97,,
1990-01-22,898.89,37257.01,2771.65
1990-01-23,890.52,37378.02,2762.45
1990-01-24,903.58,36778.98,2756.39
1990-01-25,905.75,36969.11,2768.86
1990-01-26,,36874.07,
1990-01-29,897.32,37173.7,2768.86
1990-01-30,888.47,37215.67,2760.8
1990-01-31,896.16,37188.95,2751.6
1990-02-01,885.83,37206.42,2738.24
1990-02-02,878.15,37650.15,2736.55
1990-02-03,874.92,,
1990-02-05,877.45,37631.41,2756.67
1990-02-06,886.86,37666.83,2792.89
1990-02-07,880.39,37301.87,2844.89
1990-02-08,882.52,37516.24,2903.77
1990-02-09,879.1,37288.14,2893.9
1990-02-10,873.59,,
1990-02-12,867.05,,2894.66
1990-02-13,866.57,37107.03,2863.55
1990-02-14,872.63,37155.89,2870.43
1990-02-15,874.09,37471.99,2910.04
1990-02-16,872.5,37460.32,2939.25
1990-02-17,866.93,,
1990-02-19,859.24,37222.6,2968.0
1990-02-20,856.64,36895.52,2980.9
1990-02-21,853.04,35734.33,2862.27
1990-02-22,853.45,35826.84,2927.92
1990-02-23,850.84,34890.97,2894.31
1990-02-24,845.25,,
1990-02-26,833.81,33321.87,2872.63
1990-02-27,859.83,33897.95,2932.62
1990-02-28,861.59,34591.99,2951.98
1990-03-01,,33829.58,2933.13
1990-03-02,884.07,34057.56,2937.93
1990-03-03,881.44,,
1990-03-05,865.22,33845.2,2938.68
1990-03-06,857.58,33791.08,2933.23
1990-03-07,847.46,33362.34,2926.45
1990-03-08,847.77,33690.89,2915.73
1990-03-09,852.7,33993.12,2912.67
1990-03-12,850.65,33368.23,2892.98
1990-03-13,841.56,32620.57,2887.62
1990-03-14,838.19,32352.13,2881.23
1990-03-15,835.59,32671.64,2892.81
1990-03-16,842.27,32616.44,2886.46
1990-03-17,835.13,,
1990-03-19,839.42,31263.24,2871.39
1990-03-20,849.98,30807.19,2880.03
1990-03-21,849.91,,2926.92
1990-03-22,845.96,29843.34,2948.67
