Date,FTSE100,CAC40,DAX
1990-01-02,2434.1,1988.85,1814.38
1990-01-03,2463.7,1979.89,1869.66
1990-01-04,2451.6,2006.42,1835.88
1990-01-05,2444.5,1994.36,1820.0
1990-01-06,,,
1990-01-08,2431.3,1968.95,1843.24
1990-01-09,2436.3,1970.28,1865.94
1990-01-10,2412.7,1970.38,1839.63
1990-01-11,2417.9,1992.89,1855.83
1990-01-12,2380.0,1968.65,1855.66
1990-01-13,,,
1990-01-15,2366.2,1962.89,1841.61
1990-01-16,2349.1,1935.21,1788.68
1990-01-17,2373.9,1953.14,1802.48
1990-01-18,2336.9,1934.72,1779.17
1990-01-19,2335.0,1925.95,1773.56
1990-01-20,,,
1990-01-22,2297.1,1915.82,1779.3
1990-01-23,2291.1,1912.36,1801.52
1990-01-24,2278.6,1881.73,1756.41
1990-01-25,2289.9,1893.23,1787.59
1990-01-26,2314.5,1886.75,1794.14
1990-01-29,2328.8,1904.71,1811.55
1990-01-30,2322.0,1892.03,1812.9
1990-01-31,2337.3,1882.88,1822.78
1990-02-01,2345.8,1895.53,1858.08
1990-02-02,2355.1,1924.7,1910.67
1990-02-03,,,
1990-02-05,2348.4,1926.14,1939.43
1990-02-06,2321.1,1916.33,1937.72
1990-02-07,2307.4,1895.24,1900.1
1990-02-08,2331.0,1905.51,1915.79
1990-02-09,2313.6,1898.25,1885.89
1990-02-10,,,
1990-02-12,2285.9,1867.4,1860.39
1990-02-13,2293.2,1845.43,1840.98
1990-02-14,2298.3,1853.99,1832.23
1990-02-15,2313.8,1856.86,1850.96
1990-02-16,2325.9,1871.12,1893.66
1990-02-17,,,
1990-02-19,2297.1,1838.03,1869.19
1990-02-20,2277.0,1820.16,1823.81
1990-02-21,2259.7,1803.79,1807.19
1990-02-22,2269.2,1836.91,1820.15
1990-02-23,2236.7,1803.62,1789.64
1990-02-24,,,
1990-02-26,2249.3,1804.1,1776.04
1990-02-27,2254.8,1825.38,1804.32
1990-02-28,2255.4,1849.68,1809.92
1990-03-01,2238.4,1832.44,1787.87
1990-03-02,2254.8,1860.48,1818.23
1990-03-03,,,
1990-03-05,2230.5,1874.43,1833.16
1990-03-06,2216.0,1872.3,1822.22
1990-03-07,2230.3,1880.57,1844.72
1990-03-08,2249.9,1917.99,1860.92
1990-03-09,2234.3,1921.11,1858.74
1990-03-12,2222.4,1912.59,1846.08
1990-03-13,2224.5,1924.3,1867.48
1990-03-14,2226.1,1946.37,1862.84
1990-03-15,2234.9,1964.47,1879.32
1990-03-16,2263.9,1958.82,1889.69
1990-03-17,,,
1990-03-19,2238.0,1936.96,1906.77
1990-03-20,2259.7,1925.39,1908.83
1990-03-21,2250.3,1937.18,1937.99
1990-03-22,2258.9,1914.11,1918.98
1990-03-23,2283.9,1937.4,1932.12
1990-03-24,,,
1990-03-26,2298.2,1964.16,1939.53
1990-03-27,2266.3,1945.96,1924.98
1990-03-28,2274.0,1939.33,1928.6
1990-03-29,2263.0,1947.23,1953.89
1990-03-30,2247.9,1971.79,1968.55
1990-03-31,,,
1990-04-02,2221.6,1947.18,1931.3
1990-04-03,2240.7,1985.55,1968.33
1990-04-04,2231.6,2001.49,1963.25
1990-04-05,2239.5,2028.06,1958.39
1990-04-06,2221.1,2069.89,1947.84
1990-04-07,,,
1990-04-09,2227.7,2083.9,1923.86
1990-04-10,2217.5,2075.38,1898.51
1990-04-11,2215.5,2103.1,1893.77
1990-04-12,2222.1,2116.66,1918.17
1990-04-13,,,
1990-04-14,,,
1990-04-16,,,
1990-04-17,2214.5,2126.34,1914.35
1990-04-18,2205.9,2098.68,1889.76
1990-04-19,2184.7,2097.12,1878.87
1990-04-20,2187.1,2129.32,1884.33
1990-04-21,,,
