ticker,date,field,value
HSI Index,1990-01-02,PX_OPEN,2836.57
HSI Index,1990-01-02,PX_HIGH,2851.74
HSI Index,1990-01-02,PX_LOW,2798.28
HSI Index,1990-01-02,PX_LAST,2838.07
HSI Index,1990-01-02,PX_VOLUME,
HSI Index,1990-01-03,PX_OPEN,2838.07
HSI Index,1990-01-03,PX_HIGH,2873.66
HSI Index,1990-01-03,PX_LOW,2836.82
HSI Index,1990-01-03,PX_LAST,2858.72
HSI Index,1990-01-03,PX_VOLUME,
HSI Index,1990-01-04,PX_OPEN,2858.72
HSI Index,1990-01-04,PX_HIGH,2876.5
HSI Index,1990-01-04,PX_LOW,2850.78
HSI Index,1990-01-04,PX_LAST,2867.95
HSI Index,1990-01-04,PX_VOLUME,
HSI Index,1990-01-05,PX_OPEN,2867.95
HSI Index,1990-01-05,PX_HIGH,2875.57
HSI Index,1990-01-05,PX_LOW,2838.83
HSI Index,1990-01-05,PX_LAST,2839.94
HSI Index,1990-01-05,PX_VOLUME,
HSI Index,1990-01-08,PX_OPEN,2839.94
HSI Index,1990-01-08,PX_HIGH,2839.94
HSI Index,1990-01-08,PX_LOW,2815.18
HSI Index,1990-01-08,PX_LAST,2816.24
HSI Index,1990-01-08,PX_VOLUME,
HSI Index,1990-01-09,PX_OPEN,2816.24
HSI Index,1990-01-09,PX_HIGH,2838.9
HSI Index,1990-01-09,PX_LOW,2816.24
HSI Index,1990-01-09,PX_LAST,2822.16
HSI Index,1990-01-09,PX_VOLUME,
HSI Index,1990-01-10,PX_OPEN,2822.16
HSI Index,1990-01-10,PX_HIGH,2875.25
HSI Index,1990-01-10,PX_LOW,2822.16
HSI Index,1990-01-10,PX_LAST,2868.0
HSI Index,1990-01-10,PX_VOLUME,
HSI Index,1990-01-11,PX_OPEN,2868.0
HSI Index,1990-01-11,PX_HIGH,2889.59
HSI Index,1990-01-11,PX_LOW,2855.52
HSI Index,1990-01-11,PX_LAST,2855.52
HSI Index,1990-01-11,PX_VOLUME,
HSI Index,1990-01-12,PX_OPEN,2855.52
HSI Index,1990-01-12,PX_HIGH,2855.96
HSI Index,1990-01-12,PX_LOW,2832.97
HSI Index,1990-01-12,PX_LAST,2835.94
HSI Index,1990-01-12,PX_VOLUME,
HSI Index,1990-01-15,PX_OPEN,2835.94
HSI Index,1990-01-15,PX_HIGH,2810.54
HSI Index,1990-01-15,PX_LOW,2778.87
HSI Index,1990-01-15,PX_LAST,2786.69
HSI Index,1990-01-15,PX_VOLUME,
HSI Index,1990-01-16,PX_OPEN,2786.69
HSI Index,1990-01-16,PX_HIGH,2789.04
HSI Index,1990-01-16,PX_LOW,2751.79
HSI Index,1990-01-16,PX_LAST,2751.79
HSI Index,1990-01-16,PX_VOLUME,
HSI Index,1990-01-17,PX_OPEN,2751.79
HSI Index,1990-01-17,PX_HIGH,2785.44
HSI Index,1990-01-17,PX_LOW,2736.1
HSI Index,1990-01-17,PX_LAST,2754.84
HSI Index,1990-01-17,PX_VOLUME,
HSI Index,1990-01-18,PX_OPEN,2754.84
HSI Index,1990-01-18,PX_HIGH,2774.51
HSI Index,1990-01-18,PX_LOW,2747.29
HSI Index,1990-01-18,PX_LAST,2771.67
HSI Index,1990-01-18,PX_VOLUME,
HSI Index,1990-01-19,PX_OPEN,2771.67
HSI Index,1990-01-19,PX_HIGH,2782.8
HSI Index,1990-01-19,PX_LOW,2771.25
HSI Index,1990-01-19,PX_LAST,2776.29
