Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,59.35,63.09,59.08,62.86
2006-01-13,62.75,63.28,61.04,62.4
2006-01-20,62.4,67.32,62.4,66.2
2006-01-27,67.05,67.11,63.87,66.36
2006-02-03,66.5,67.27,62.15,63.6
2006-02-10,63.85,64.5,59.41,59.72
2006-02-17,59.26,60.97,57.9,59.85
2006-02-24,60.0,62.87,59.81,62.65
2006-03-03,62.2,64.64,60.36,64.1
2006-03-10,64.18,64.18,59.26,60.92
2006-03-17,60.8,64.35,60.6,63.5
2006-03-24,63.29,63.9,60.98,63.44
2006-03-31,63.5,67.05,62.8,66.18
2006-04-07,66.3,68.24,65.73,67.33
2006-04-14,67.3,70.99,67.3,70.8
2006-04-21,70.99,74.79,70.52,74.5
2006-04-28,74.63,74.76,70.45,71.73
2006-05-05,71.98,74.97,69.79,70.82
2006-05-12,71.1,73.88,69.06,72.04
2006-05-19,71.5,71.5,68.25,68.52
2006-05-26,68.95,71.35,67.63,70.67
2006-06-02,70.8,71.99,69.01,71.48
2006-06-09,72.2,72.67,67.73,70.6
2006-06-16,70.5,71.2,66.33,69.0
2006-06-23,68.75,70.38,67.42,69.9
2006-06-30,69.86,73.69,69.47,73.26
2006-07-07,73.26,75.09,72.45,73.25
2006-07-14,73.2,78.03,72.11,77.35
2006-07-21,77.98,78.18,72.59,73.95
2006-07-28,73.85,75.54,72.78,73.54
2006-08-04,73.22,77.47,72.7,76.13
2006-08-11,76.15,78.65,75.1,75.7
2006-08-18,75.16,75.26,71.31,72.15
2006-08-25,72.59,74.09,71.61,72.65
2006-09-01,72.21,72.47,68.82,69.2
2006-09-08,69.15,69.49,65.16,65.35
2006-09-15,65.2,65.44,61.96,63.47
2006-09-22,63.47,64.86,60.11,60.3
2006-09-29,60.05,63.63,59.32,62.5
2006-10-06,62.7,62.82,57.7,59.79
2006-10-13,60.25,61.66,58.16,59.4
2006-10-20,59.4,62.5,58.82,59.56
2006-10-27,59.25,62.35,58.52,61.12
2006-11-03,61.2,61.2,57.39,59.25
2006-11-10,58.94,61.43,58.44,59.88
2006-11-17,59.8,61.37,57.85,59.0
2006-11-24,58.5,60.58,58.24,60.09
2006-12-01,59.78,64.92,59.47,64.89
2006-12-08,64.59,64.75,62.13,62.39
2006-12-15,62.16,63.61,61.05,63.34
2006-12-22,63.34,63.59,61.47,62.06
2006-12-29,62.54,63.3,60.04,60.79
2007-01-05,60.88,61.64,54.5,55.67
2007-01-12,55.86,57.19,51.65,52.87
2007-01-19,53.09,53.63,50.75,53.51
2007-01-26,53.75,55.88,52.18,55.37
2007-02-02,55.46,58.67,53.56,58.52
2007-02-09,58.55,59.63,56.74,58.8
2007-02-16,58.51,59.03,56.1,58.78
2007-02-23,58.8,61.68,56.81,60.64
2007-03-02,61.05,62.74,60.1,61.63
2007-03-09,61.7,62.84,60.0,61.15
2007-03-16,61.01,62.11,59.79,60.38
2007-03-23,60.64,63.68,60.0,63.2
2007-03-30,63.55,69.14,63.33,68.1
2007-04-06,67.91,69.58,66.93,68.1
2007-04-13,67.87,69.59,66.38,68.96
2007-04-20,68.75,69.17,64.76,66.61
2007-04-27,66.51,68.75,65.98,68.32
2007-05-04,68.23,68.73,64.95,65.25
2007-05-11,65.18,66.98,63.8,66.92
2007-05-18,66.65,70.35,65.93,69.45
2007-05-25,69.44,71.8,69.1,70.74
2007-06-01,70.5,70.5,66.8,68.8
2007-06-08,68.94,71.72,68.41,68.72
2007-06-15,68.69,71.88,68.2,71.55
2007-06-22,71.59,72.25,69.56,71.12
2007-06-29,70.75,71.6,69.4,71.35
2007-07-06,71.22,76.01,70.92,75.5
2007-07-13,75.46,77.7,74.91,77.61
2007-07-20,77.55,78.4,75.03,77.4
2007-07-27,77.32,77.5,74.23,76.36
2007-08-03,76.06,77.18,74.24,74.45
2007-08-10,74.45,74.73,68.95,70.5
2007-08-17,70.4,72.24,68.87,70.2
2007-08-24,69.7,70.84,68.14,70.72
2007-08-31,70.55,73.09,69.49,72.57
2007-09-07,72.69,75.7,72.69,74.97
2007-09-14,74.83,77.93,73.86,76.3
2007-09-21,76.2,79.94,75.52,79.03
2007-09-28,78.9,81.05,76.36,78.99
2007-10-05,79.25,79.54,76.31,78.83
2007-10-12,78.42,80.92,75.64,80.64
2007-10-19,80.0,84.88,80.0,83.5
2007-10-26,83.66,89.3,81.63,88.76
2007-11-02,88.69,92.21,86.13,91.85
2007-11-09,91.84,95.19,90.18,93.16
2007-11-16,92.54,93.46,87.88,91.51
2007-11-23,91.87,96.53,90.98,95.67
2007-11-30,95.9,96.65,87.55,88.19
2007-12-07,88.74,91.91,86.56,88.61
2007-12-14,88.77,94.44,87.51,92.68
2007-12-21,91.69,92.95,89.33,92.45
2007-12-28,92.29,95.87,91.35,94.15
2008-01-04,94.29,98.5,93.25,96.75
2008-01-11,96.69,97.48,90.83,91.3
2008-01-18,91.07,93.25,88.21,89.23
2008-01-25,89.57,91.4,85.0,90.96
2008-02-01,90.7,92.83,88.95,89.51
2008-02-08,89.1,92.32,86.83,91.95
2008-02-15,92.68,95.8,91.09,94.81
2008-02-22,94.9,99.22,94.44,97.1
2008-02-29,97.23,101.27,96.34,100.1
2008-03-07,100.12,103.98,96.92,102.65
2008-03-14,102.3,108.02,101.2,107.45
2008-03-21,106.0,107.97,98.0,99.98
2008-03-28,99.75,105.6,98.7,103.36
2008-04-04,103.36,105.32,98.99,104.77
2008-04-11,104.68,109.98,104.6,108.72
2008-04-18,108.26,114.22,108.09,114.2
2008-04-25,113.85,117.56,112.49,116.65
2008-05-02,117.32,117.51,108.42,114.45
2008-05-09,114.54,125.9,114.21,125.55
2008-05-16,125.63,126.34,120.1,125.1
2008-05-23,125.28,135.14,123.59,130.75
2008-05-30,131.25,133.41,125.0,128.27
2008-06-06,127.22,138.12,121.32,136.87
2008-06-13,137.25,137.74,130.5,134.26
2008-06-20,134.79,139.32,131.48,134.39
2008-06-27,134.56,142.97,132.0,140.37
2008-07-04,141.29,146.69,139.54,144.6
