Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,90.75,90.94,88.8,88.85
2006-01-13,88.96,89.67,88.73,88.89
2006-01-20,89.11,89.65,88.93,88.95
2006-01-27,88.79,89.4,87.83,89.32
2006-02-03,89.27,90.23,88.69,89.89
2006-02-10,89.86,90.57,89.7,90.55
2006-02-17,90.55,91.02,90.17,90.64
2006-02-24,90.45,90.89,90.09,90.61
2006-03-03,90.86,90.89,89.5,89.66
2006-03-10,89.36,91.16,89.28,90.85
2006-03-17,90.83,90.87,88.85,88.92
2006-03-24,89.07,90.62,88.95,90.07
2006-03-31,90.05,90.45,89.28,89.73
2006-04-07,89.74,90.4,88.44,89.63
2006-04-14,89.6,89.86,89.21,89.62
2006-04-21,88.76,89.16,87.73,88.05
2006-04-28,87.73,87.92,86.0,86.11
2006-05-05,85.93,86.36,85.0,85.12
2006-05-12,85.09,85.49,83.61,83.96
2006-05-19,83.61,85.35,83.6,84.88
2006-05-26,84.91,85.47,84.27,85.26
2006-06-02,85.07,85.27,83.91,84.05
2006-06-09,84.06,86.06,83.72,85.72
2006-06-16,85.89,86.5,85.66,85.92
2006-06-23,86.01,87.05,85.63,86.82
2006-06-30,86.86,86.89,85.14,85.22
2006-07-07,85.2,85.76,84.77,84.98
2006-07-14,85.03,86.28,84.97,86.09
2006-07-21,86.17,87.33,85.85,85.93
2006-07-28,85.86,86.77,85.32,85.44
2006-08-04,85.39,85.63,84.39,84.57
2006-08-11,84.53,85.58,84.42,85.52
2006-08-18,85.49,85.75,84.61,85.09
2006-08-25,85.02,85.55,84.42,85.38
2006-09-01,85.39,85.46,84.72,84.94
2006-09-08,84.87,86.06,84.73,85.95
2006-09-15,85.97,86.17,85.46,85.99
2006-09-22,86.06,86.14,84.91,85.2
2006-09-29,85.18,86.22,84.97,85.97
2006-10-06,86.01,86.65,85.47,86.44
2006-10-13,86.53,87.3,86.44,87.12
2006-10-20,87.17,87.2,86.14,86.27
2006-10-27,86.3,86.92,85.43,85.56
2006-11-03,85.57,85.91,85.15,85.71
2006-11-10,85.7,85.93,84.7,85.05
2006-11-17,85.02,85.7,84.84,85.37
2006-11-24,85.34,85.48,83.56,83.71
2006-12-01,83.35,83.78,82.36,82.48
2006-12-08,82.36,83.34,82.24,83.33
2006-12-15,83.34,84.14,82.88,84.06
2006-12-22,84.03,84.22,83.21,83.94
2006-12-29,83.84,84.13,83.53,83.72
2007-01-05,83.46,84.81,83.15,84.63
2007-01-12,84.64,85.4,84.43,85.03
2007-01-19,84.94,85.26,84.64,84.86
2007-01-26,84.9,85.43,84.49,85.28
2007-02-02,85.15,85.38,84.4,84.96
2007-02-09,84.98,85.2,84.65,84.87
2007-02-16,84.83,85.21,83.94,84.09
2007-02-23,84.1,84.53,83.89,84.07
2007-03-02,83.97,84.09,83.4,83.74
2007-03-09,83.73,84.38,83.61,84.24
2007-03-16,84.23,84.28,83.03,83.23
2007-03-23,83.17,83.5,82.65,83.28
2007-03-30,83.39,83.46,82.64,82.93
2007-04-06,82.91,83.21,82.59,82.99
2007-04-13,83.004,83.181,81.969,82.129
2007-04-20,82.025,82.191,81.507,81.643
2007-04-27,81.627,81.926,81.269,81.529
2007-05-04,81.518,82.036,81.251,81.741
2007-05-11,81.61,82.384,81.535,82.116
2007-05-18,82.096,82.397,81.662,82.197
2007-05-25,82.125,82.603,82.084,82.331
2007-06-01,82.347,82.588,82.046,82.322
2007-06-08,82.335,82.919,81.704,82.691
2007-06-15,82.709,83.272,82.62,82.851
2007-06-22,82.836,82.855,82.323,82.336
2007-06-29,82.343,82.48,81.897,81.92
2007-07-06,81.869,81.946,81.242,81.465
2007-07-13,81.461,81.585,80.442,80.576
2007-07-20,80.534,80.666,80.117,80.288
2007-07-27,80.134,81.01,80.016,80.946
2007-08-03,80.975,81.09,80.164,80.177
2007-08-10,80.106,80.919,79.957,80.679
2007-08-17,80.731,82.132,80.621,81.426
2007-08-24,81.316,81.572,80.608,80.667
2007-08-31,80.696,81.052,80.441,80.791
2007-09-07,80.807,81.136,79.841,79.959
2007-09-14,79.913,80.0,79.302,79.617
2007-09-21,79.657,79.852,78.398,78.597
2007-09-28,78.388,78.688,77.666,77.719
2007-10-05,77.788,78.819,77.657,78.308
2007-10-12,78.323,78.891,77.964,78.224
2007-10-19,78.208,78.339,77.396,77.407
