,Fed_Funds_Rate
2006-01-06,4.29
2006-01-13,4.29
2006-01-20,4.29
2006-01-27,4.29
2006-02-03,4.49
2006-02-10,4.49
2006-02-17,4.49
2006-02-24,4.49
2006-03-03,4.59
2006-03-10,4.59
2006-03-17,4.59
2006-03-24,4.59
2006-03-31,4.59
2006-04-07,4.79
2006-04-14,4.79
2006-04-21,4.79
2006-04-28,4.79
2006-05-05,4.94
2006-05-12,4.94
2006-05-19,4.94
2006-05-26,4.94
2006-06-02,4.99
2006-06-09,4.99
2006-06-16,4.99
2006-06-23,4.99
2006-06-30,4.99
2006-07-07,5.24
2006-07-14,5.24
2006-07-21,5.24
2006-07-28,5.24
2006-08-04,5.25
2006-08-11,5.25
2006-08-18,5.25
2006-08-25,5.25
2006-09-01,5.25
2006-09-08,5.25
2006-09-15,5.25
2006-09-22,5.25
2006-09-29,5.25
2006-10-06,5.25
2006-10-13,5.25
2006-10-20,5.25
2006-10-27,5.25
2006-11-03,5.25
2006-11-10,5.25
2006-11-17,5.25
2006-11-24,5.25
2006-12-01,5.24
2006-12-08,5.24
2006-12-15,5.24
2006-12-22,5.24
2006-12-29,5.24
2007-01-05,5.25
2007-01-12,5.25
2007-01-19,5.25
2007-01-26,5.25
2007-02-02,5.26
2007-02-09,5.26
2007-02-16,5.26
2007-02-23,5.26
2007-03-02,5.26
2007-03-09,5.26
2007-03-16,5.26
2007-03-23,5.26
2007-03-30,5.26
2007-04-06,5.25
2007-04-13,5.25
2007-04-20,5.25
2007-04-27,5.25
2007-05-04,5.25
2007-05-11,5.25
2007-05-18,5.25
2007-05-25,5.25
2007-06-01,5.25
2007-06-08,5.25
2007-06-15,5.25
2007-06-22,5.25
2007-06-29,5.25
2007-07-06,5.26
2007-07-13,5.26
2007-07-20,5.26
2007-07-27,5.26
2007-08-03,5.02
2007-08-10,5.02
2007-08-17,5.02
2007-08-24,5.02
2007-08-31,5.02
2007-09-07,4.94
2007-09-14,4.94
2007-09-21,4.94
2007-09-28,4.94
2007-10-05,4.76
2007-10-12,4.76
2007-10-19,4.76
2007-10-26,4.76
2007-11-02,4.49
2007-11-09,4.49
2007-11-16,4.49
2007-11-23,4.49
2007-11-30,4.49
2007-12-07,4.24
2007-12-14,4.24
2007-12-21,4.24
2007-12-28,4.24
2008-01-04,3.94
2008-01-11,3.94
2008-01-18,3.94
2008-01-25,3.94
2008-02-01,2.98
2008-02-08,2.98
2008-02-15,2.98
2008-02-22,2.98
2008-02-29,2.98
2008-03-07,2.61
2008-03-14,2.61
2008-03-21,2.61
2008-03-28,2.61
2008-04-04,2.28
2008-04-11,2.28
2008-04-18,2.28
2008-04-25,2.28
2008-05-02,1.98
2008-05-09,1.98
2008-05-16,1.98
2008-05-23,1.98
2008-05-30,1.98
2008-06-06,2.0
2008-06-13,2.0
2008-06-20,2.0
2008-06-27,2.0
2008-07-04,2.01
2008-07-11,2.01
2008-07-18,2.01
2008-07-25,2.01
2008-08-01,2.0
2008-08-08,2.0
2008-08-15,2.0
2008-08-22,2.0
2008-08-29,2.0
2008-09-05,1.81
2008-09-12,1.81
2008-09-19,1.81
2008-09-26,1.81
2008-10-03,0.97
2008-10-10,0.97
2008-10-17,0.97
2008-10-24,0.97
2008-10-31,0.97
2008-11-07,0.39
2008-11-14,0.39
2008-11-21,0.39
2008-11-28,0.39
2008-12-05,0.16
2008-12-12,0.16
2008-12-19,0.16
2008-12-26,0.16
2009-01-02,0.15
2009-01-09,0.15
