Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,533.6,539.65,525.05,539.65
2006-01-13,549.125,556.875,542.55,556.875
2006-01-20,562.2,562.2,544.0,553.8
2006-01-27,559.2,563.45,558.7,559.55
2006-02-03,569.15,572.45,567.65,567.65
2006-02-10,569.85,569.85,548.85,550.95
2006-02-17,539.05,552.15,539.05,552.15
2006-02-24,556.05,558.95,549.375,558.95
2006-03-03,555.15,568.75,555.15,565.05
2006-03-10,555.55,555.55,540.35,540.35
2006-03-17,546.15,555.25,546.15,553.85
2006-03-24,554.45,560.45,550.15,560.45
2006-03-31,566.95,588.65,564.5,583.65
2006-04-07,588.75,595.25,586.45,588.45
2006-04-14,600.0,600.0,593.5,599.8
2006-04-21,614.0,639.9,614.0,634.0
2006-04-28,621.3,654.5,621.3,654.5
2006-05-05,658.1,682.7,658.1,682.7
2006-05-12,678.8,719.3,678.8,714.8
2006-05-19,681.1,689.9,657.6,657.6
2006-05-26,656.2,671.5,641.9,652.0
2006-06-02,650.5,652.8,629.6,638.2
2006-06-09,637.35,637.35,607.45,607.45
2006-06-16,605.85,605.85,559.35,580.85
2006-06-23,569.15,586.85,569.15,583.35
2006-06-30,585.45,613.1,580.2,613.1
2006-07-07,624.5,633.95,622.0,630.55
2006-07-14,624.05,665.15,624.05,665.15
2006-07-21,643.15,643.15,620.75,620.75
2006-07-28,612.475,635.9,612.475,635.9
2006-08-04,634.575,650.95,634.575,646.45
2006-08-11,647.975,650.65,632.7,632.7
2006-08-18,629.2,629.2,614.5,615.0
2006-08-25,627.8,627.8,621.85,623.25
2006-09-01,614.05,626.9,612.75,625.5
2006-09-08,626.5,638.6,610.8,610.8
2006-09-15,591.75,591.75,576.75,579.85
2006-09-22,588.85,588.85,575.65,588.3
2006-09-29,586.7,602.9,586.7,598.3
2006-10-06,595.2,595.2,566.6,573.8
2006-10-13,576.7,590.0,573.0,590.0
2006-10-20,596.0,599.3,589.9,591.9
2006-10-27,582.05,600.05,582.05,600.05
2006-11-03,604.5,628.0,604.5,628.0
2006-11-10,623.1,633.7,615.775,628.7
2006-11-17,626.1,626.1,618.7,622.0
2006-11-24,622.7,638.2,622.7,638.2
2006-12-01,641.3,648.3,636.6,645.8
2006-12-08,645.9,645.9,625.15,625.15
2006-12-15,630.45,630.45,615.25,615.25
2006-12-22,615.95,622.75,615.95,621.0
2006-12-29,620.75,636.8,620.75,636.8
2007-01-05,640.5,640.5,607.4,607.4
2007-01-12,609.9,626.9,609.9,626.9
2007-01-19,626.7,635.5,625.4,635.5
2007-01-26,632.9,648.5,632.9,646.6
2007-02-02,643.1,657.7,643.1,648.25
2007-02-09,648.55,666.65,648.55,666.65
2007-02-16,662.05,669.35,662.05,669.05
2007-02-23,671.55,682.85,658.75,682.85
2007-03-02,687.35,687.35,642.95,642.95
2007-03-09,635.8,651.3,635.8,650.275
2007-03-16,651.2,652.9,643.5,652.9
2007-03-23,653.7,664.2,653.7,657.1
2007-03-30,663.8,665.6,661.3,663.6
2007-04-06,663.9,674.5,663.9,674.5
2007-04-13,670.75,685.6,670.75,685.6
2007-04-20,690.55,691.35,682.65,691.35
2007-04-27,689.05,689.05,674.95,680.95
2007-05-04,678.25,688.75,672.85,688.75
2007-05-11,688.45,688.45,666.45,671.05
2007-05-18,669.95,672.15,657.75,661.65
2007-05-25,663.35,663.35,654.75,656.15
2007-06-01,655.65,671.45,653.65,671.45
2007-06-08,671.25,671.25,648.55,648.55
2007-06-15,653.75,655.75,647.25,655.75
2007-06-22,656.35,661.35,651.95,654.35
2007-06-29,651.4,651.4,640.3,649.65
2007-07-06,657.35,657.35,649.8,655.9
2007-07-13,660.2,667.4,660.2,667.3
2007-07-20,665.0,683.7,664.8,683.7
2007-07-27,681.4,682.2,661.4,661.4
2007-08-03,665.2,673.3,663.5,673.3
2007-08-10,671.8,674.6,661.6,672.8
2007-08-17,669.4,669.4,652.8,657.2
2007-08-24,658.2,668.4,657.5,668.4
2007-08-31,667.6,673.0,662.6,673.0
2007-09-07,672.35,700.8,672.35,700.8
2007-09-14,702.9,712.7,702.9,707.1
2007-09-21,717.8,733.4,717.8,731.2
2007-09-28,730.4,744.1,728.1,744.1
2007-10-05,747.2,747.2,727.6,742.7
2007-10-12,733.3,749.6,733.3,749.6
2007-10-19,759.3,766.6,755.0,765.2
2007-10-26,754.4,785.4,754.4,785.4
2007-11-02,791.4,807.5,781.6,807.5
2007-11-09,806.5,832.2,806.5,831.7
2007-11-16,803.6,811.8,787.3,787.3
2007-11-23,781.7,823.4,781.7,823.4
2007-11-30,822.6,822.6,782.9,782.9
2007-12-07,791.5,803.2,791.5,795.6
2007-12-14,809.5,813.8,794.9,794.9
2007-12-21,791.7,810.8,791.7,810.8
2007-12-28,811.9,839.0,807.0,839.0
2008-01-04,833.6,863.4,833.6,861.5
2008-01-11,857.9,895.75,857.9,895.75
2008-01-18,905.2,905.2,877.55,884.55
2008-01-25,866.35,913.5,866.35,913.5
2008-02-01,927.85,929.0,910.375,910.375
2008-02-08,904.75,918.35,887.2,918.35
2008-02-15,924.75,924.75,902.7,902.7
2008-02-22,906.4,945.5,906.4,945.5
2008-02-29,939.8,972.475,939.8,972.475
2008-03-07,983.8,988.3,963.4,973.4
2008-03-14,973.4,995.3,973.4,993.2
2008-03-21,1002.7,1002.7,910.0,919.5
2008-03-28,915.1,954.1,915.1,930.4
2008-04-04,915.7,915.7,883.5,913.3
2008-04-11,920.4,934.2,915.4,925.3
2008-04-18,924.5,945.1,916.4,916.4
2008-04-25,914.2,918.0,886.15,886.15
2008-05-02,893.5,893.5,852.65,856.45
2008-05-09,874.05,884.9,868.15,884.9
2008-05-16,882.9,902.3,864.65,902.3
2008-05-23,904.95,932.35,904.95,925.2
2008-05-30,929.1,929.1,877.4,886.9
2008-06-06,890.5,902.35,878.35,902.35
2008-06-13,892.9,892.9,867.35,871.2
2008-06-20,882.3,901.85,882.3,901.85
2008-06-27,884.05,927.85,884.05,927.85
2008-07-04,925.1,945.35,925.1,933.3
2008-07-11,926.25,964.7,920.0,964.7
2008-07-18,972.7,977.6,955.3,955.3
2008-07-25,966.3,966.3,920.75,929.7
2008-08-01,930.9,930.9,906.45,910.55
2008-08-08,894.65,894.65,856.35,856.35
2008-08-15,823.3,826.6,786.5,786.5
2008-08-22,799.35,836.45,799.35,823.1
2008-08-29,822.1,834.25,822.1,830.8
2008-09-05,818.1,818.1,795.55,803.8
2008-09-12,802.35,802.35,747.8,764.45
2008-09-19,787.2,873.15,778.55,873.15
2008-09-26,901.8,901.8,877.2,879.9
2008-10-03,906.25,906.25,836.8,836.8
2008-10-10,858.95,913.5,851.4,851.4
2008-10-17,832.8,849.0,783.7,783.7
2008-10-24,796.5,796.5,722.0,735.3
2008-10-31,731.1,756.3,725.05,725.05
2008-11-07,722.9,765.4,722.9,737.45
2008-11-14,746.5,746.5,711.8,742.55
2008-11-21,736.9,800.0,733.9,800.0
2008-11-28,821.05,822.55,813.2,817.5
2008-12-05,770.55,783.0,757.4,757.4
2008-12-12,772.7,822.2,772.7,821.95
2008-12-19,840.05,866.3,838.35,838.35
2008-12-26,847.3,869.65,839.45,869.65
2009-01-02,876.65,882.15,874.05,876.55
2009-01-09,859.0,864.15,841.95,853.45
2009-01-16,821.25,843.35,811.35,843.35
2009-01-23,836.9,899.4,836.9,899.4
2009-01-30,904.1,927.75,886.65,927.75
2009-02-06,902.25,915.75,902.25,911.55
2009-02-13,895.5,947.9,895.5,942.1
2009-02-20,942.05,993.3,942.05,993.3
2009-02-27,993.25,993.25,945.15,945.15
2009-03-06,926.65,937.35,907.65,937.35
2009-03-13,921.95,928.2,896.8,928.2
2009-03-20,923.35,959.4,915.0,952.85
2009-03-27,938.15,938.15,923.05,923.05
2009-04-03,917.3,927.4,893.9,893.9
2009-04-10,869.8,881.65,869.8,881.65
2009-04-17,893.05,893.05,868.9,868.9
2009-04-24,885.15,913.1,883.25,913.1
2009-05-01,906.25,906.25,886.5,887.3
2009-05-08,903.35,917.05,896.3,917.05
2009-05-15,913.6,931.7,913.6,931.7
2009-05-22,918.2,957.35,918.2,957.35
2009-05-29,958.8,980.0,949.0,980.0
2009-06-05,975.2,981.85,956.3,956.3
2009-06-12,951.05,955.0,938.9,938.9
2009-06-19,928.35,939.4,928.35,934.3
2009-06-26,922.9,939.15,922.9,939.05
2009-07-03,938.05,940.75,926.85,932.5
2009-07-10,925.0,925.0,909.45,913.15
2009-07-17,921.0,939.45,921.0,937.7
2009-07-24,949.35,951.4,948.15,951.35
2009-07-31,953.65,954.75,930.0,954.75
2009-08-07,956.5,967.75,954.9,954.9
2009-08-14,946.15,955.0,946.05,947.35
2009-08-21,934.3,954.15,934.3,954.15
2009-08-28,942.9,955.95,942.9,955.95
2009-09-04,951.15,994.4,951.15,994.4
2009-09-11,995.35,1005.85,992.65,1005.85
2009-09-18,1000.15,1017.7,1000.15,1007.15
2009-09-25,1003.55,1014.8,991.75,991.75
2009-10-02,990.95,1007.7,990.95,1002.35
2009-10-09,1017.75,1055.0,1017.75,1049.25
2009-10-16,1056.25,1064.35,1050.85,1053.25
2009-10-23,1063.7,1063.7,1054.95,1054.95
2009-10-30,1038.1,1045.55,1027.85,1044.9
2009-11-06,1059.25,1095.05,1059.25,1095.05
2009-11-13,1104.05,1119.2,1103.8,1119.2
2009-11-20,1140.35,1149.95,1140.35,1149.95
2009-11-27,1165.25,1193.1,1165.25,1177.7
2009-12-04,1178.85,1214.95,1161.7,1161.7
2009-12-11,1158.3,1158.3,1114.9,1114.9
2009-12-18,1124.55,1137.95,1098.25,1112.5
2009-12-25,1092.1,1105.45,1083.75,1104.5
2010-01-01,1106.85,1106.85,1091.95,1097.35
2010-01-08,1120.4,1138.9,1119.05,1136.6
2010-01-15,1153.0,1153.0,1127.7,1130.9
2010-01-22,1133.0,1138.1,1093.0,1093.0
2010-01-29,1098.25,1098.25,1081.55,1081.55
2010-02-05,1107.35,1115.2,1063.45,1065.45
2010-02-12,1063.75,1095.35,1063.75,1093.4
2010-02-19,1101.0,1123.9,1101.0,1118.85
2010-02-26,1113.7,1116.5,1096.4,1116.5
2010-03-05,1117.35,1139.5,1117.35,1132.05
2010-03-12,1122.4,1122.4,1102.45,1102.45
2010-03-19,1109.1,1125.95,1107.55,1107.55
2010-03-26,1102.3,1106.6,1087.5,1106.6
2010-04-02,1109.2,1126.5,1103.6,1120.5
2010-04-09,1130.7,1160.9,1130.7,1160.9
2010-04-16,1152.0,1158.95,1137.45,1137.45
2010-04-23,1135.6,1157.4,1135.6,1157.4
2010-04-30,1154.88,1179.25,1154.88,1179.25
2010-05-07,1182.4,1208.75,1171.65,1208.3
2010-05-14,1202.4,1237.35,1202.4,1233.05
2010-05-21,1223.75,1223.75,1177.15,1177.15
2010-05-28,1192.05,1214.81,1192.05,1214.81
2010-06-04,1216.21,1225.3,1208.05,1220.0
2010-06-11,1240.05,1240.05,1217.8,1227.4
2010-06-18,1222.15,1257.35,1222.15,1257.35
2010-06-25,1232.15,1255.5,1232.15,1255.5
2010-07-02,1238.05,1242.35,1199.65,1211.6
2010-07-09,1208.95,1212.0,1194.25,1212.0
2010-07-16,1196.85,1211.65,1193.65,1193.65
2010-07-23,1183.7,1194.95,1183.7,1189.1
2010-07-30,1182.5,1182.5,1162.3,1180.9
2010-08-06,1181.85,1205.3,1181.85,1205.3
2010-08-13,1201.4,1215.55,1197.75,1215.55
2010-08-20,1224.85,1232.1,1224.85,1228.05
2010-08-27,1225.4,1240.1,1225.4,1238.2
2010-09-03,1236.8,1251.25,1236.8,1247.1
2010-09-10,1250.05,1255.4,1244.1,1246.45
2010-09-17,1245.45,1275.55,1245.45,1274.9
2010-09-24,1278.35,1296.95,1278.35,1296.95
2010-10-01,1295.0,1318.8,1295.0,1318.8
2010-10-08,1315.25,1349.4,1315.25,1346.8
2010-10-15,1353.95,1381.3,1350.6,1369.15
2010-10-22,1369.8,1369.8,1325.5,1328.2
2010-10-29,1340.45,1359.55,1325.3,1359.55
2010-11-05,1351.75,1393.9,1348.65,1393.9
2010-11-12,1409.45,1409.45,1368.945,1368.945
2010-11-19,1359.495,1359.495,1337.25,1353.5
2010-11-26,1366.35,1377.2,1364.425,1364.425
