,US_Treasury_30Y
2006-01-06,4.53
2006-01-13,4.49
2006-01-20,4.54
2006-01-27,4.7
2006-02-03,4.64
2006-02-10,4.55
2006-02-17,4.51
2006-02-24,4.52
2006-03-03,4.66
2006-03-10,4.74
2006-03-17,4.72
2006-03-24,4.7
2006-03-31,4.9
2006-04-07,5.04
2006-04-14,5.11
2006-04-21,5.1
2006-04-28,5.17
2006-05-05,5.2
2006-05-12,5.29
2006-05-19,5.14
2006-05-26,5.16
2006-06-02,5.1
2006-06-09,5.03
2006-06-16,5.17
2006-06-23,5.26
2006-06-30,5.19
2006-07-07,5.18
2006-07-14,5.11
2006-07-21,5.1
2006-07-28,5.07
2006-08-04,5.0
2006-08-11,5.09
2006-08-18,4.97
2006-08-25,4.93
2006-09-01,4.87
2006-09-08,4.92
2006-09-15,4.92
2006-09-22,4.74
2006-09-29,4.77
2006-10-06,4.84
2006-10-13,4.94
2006-10-20,4.91
2006-10-27,4.8
2006-11-03,4.81
2006-11-10,4.69
2006-11-17,4.69
2006-11-24,4.63
2006-12-01,4.54
2006-12-08,4.66
2006-12-15,4.72
2006-12-22,4.76
2006-12-29,4.81
2007-01-05,4.74
2007-01-12,4.86
2007-01-19,4.87
2007-01-26,4.98
2007-02-02,4.93
2007-02-09,4.87
2007-02-16,4.79
2007-02-23,4.79
2007-03-02,4.65
2007-03-09,4.72
2007-03-16,4.7
2007-03-23,4.8
2007-03-30,4.84
2007-04-06,4.92
2007-04-13,4.93
2007-04-20,4.85
2007-04-27,4.89
2007-05-04,4.8
2007-05-11,4.85
2007-05-18,4.96
2007-05-25,5.01
2007-06-01,5.06
2007-06-08,5.22
2007-06-15,5.26
2007-06-22,5.25
2007-06-29,5.12
2007-07-06,5.28
2007-07-13,5.19
2007-07-20,5.07
2007-07-27,4.95
2007-08-03,4.87
2007-08-10,5.03
2007-08-17,5.0
2007-08-24,4.88
2007-08-31,4.83
2007-09-07,4.7
2007-09-14,4.72
2007-09-21,4.89
2007-09-28,4.83
2007-10-05,4.87
2007-10-12,4.91
2007-10-19,4.68
2007-10-26,4.68
2007-11-02,4.61
2007-11-09,4.61
2007-11-16,4.52
2007-11-23,4.43
2007-11-30,4.4
2007-12-07,4.58
2007-12-14,4.66
2007-12-21,4.58
2007-12-28,4.51
2008-01-04,4.36
2008-01-11,4.39
2008-01-18,4.28
2008-01-25,4.28
2008-02-01,4.32
2008-02-08,4.43
2008-02-15,4.58
2008-02-22,4.58
2008-02-29,4.41
2008-03-07,4.55
2008-03-14,4.35
2008-03-21,4.17
2008-03-28,4.33
2008-04-04,4.32
2008-04-11,4.3
2008-04-18,4.51
2008-04-25,4.61
2008-05-02,4.57
2008-05-09,4.53
2008-05-16,4.58
2008-05-23,4.57
2008-05-30,4.72
2008-06-06,4.65
2008-06-13,4.79
2008-06-20,4.71
2008-06-27,4.53
2008-07-04,4.53
2008-07-11,4.52
2008-07-18,4.66
2008-07-25,4.69
2008-08-01,4.57
2008-08-08,4.55
2008-08-15,4.47
2008-08-22,4.46
2008-08-29,4.43
2008-09-05,4.27
2008-09-12,4.32
2008-09-19,4.36
2008-09-26,4.36
2008-10-03,4.11
2008-10-10,4.15
2008-10-17,4.32
2008-10-24,4.11
2008-10-31,4.35
2008-11-07,4.25
2008-11-14,4.22
2008-11-21,3.7
2008-11-28,3.45
2008-12-05,3.11
2008-12-12,3.07
2008-12-19,2.55
2008-12-26,2.61
2009-01-02,2.83
2009-01-09,3.04
2009-01-16,2.89
2009-01-23,3.32
2009-01-30,3.58
2009-02-06,3.7
2009-02-13,3.68
2009-02-20,3.56
2009-02-27,3.71
2009-03-06,3.5
2009-03-13,3.66
2009-03-20,3.65
2009-03-27,3.62
2009-04-03,3.7
2009-04-10,3.76
2009-04-17,3.79
2009-04-24,3.89
2009-05-01,4.09
2009-05-08,4.28
2009-05-15,4.09
2009-05-22,4.38
2009-05-29,4.34
2009-06-05,4.63
2009-06-12,4.65
2009-06-19,4.52
2009-06-26,4.3
2009-07-03,4.32
2009-07-10,4.2
2009-07-17,4.53
2009-07-24,4.55
2009-07-31,4.31
2009-08-07,4.61
2009-08-14,4.41
2009-08-21,4.36
2009-08-28,4.21
2009-09-04,4.27
2009-09-11,4.18
2009-09-18,4.24
2009-09-25,4.1
2009-10-02,4.01
2009-10-09,4.22
2009-10-16,4.24
2009-10-23,4.29
2009-10-30,4.23
2009-11-06,4.4
2009-11-13,4.36
2009-11-20,4.3
2009-11-27,4.21
2009-12-04,4.4
2009-12-11,4.49
2009-12-18,4.46
2009-12-25,4.68
2010-01-01,4.63
2010-01-08,4.7
2010-01-15,4.58
2010-01-22,4.5
2010-01-29,4.51
2010-02-05,4.51
2010-02-12,4.66
2010-02-19,4.71
2010-02-26,4.55
2010-03-05,4.64
2010-03-12,4.62
2010-03-19,4.58
2010-03-26,4.75
2010-04-02,4.81
2010-04-09,4.74
2010-04-16,4.67
2010-04-23,4.67
2010-04-30,4.53
2010-05-07,4.28
2010-05-14,4.32
2010-05-21,4.07
2010-05-28,4.22
2010-06-04,4.13
2010-06-11,4.15
2010-06-18,4.15
2010-06-25,4.07
2010-07-02,3.94
2010-07-09,4.04
2010-07-16,3.95
2010-07-23,4.01
2010-07-30,3.98
2010-08-06,4.0
2010-08-13,3.87
2010-08-20,3.67
2010-08-27,3.69
2010-09-03,3.79
2010-09-10,3.88
2010-09-17,3.9
2010-09-24,3.79
2010-10-01,3.71
2010-10-08,3.75
2010-10-15,3.98
2010-10-22,3.94
2010-10-29,3.99
2010-11-05,4.12
2010-11-12,4.26
2010-11-19,4.25
2010-11-26,4.21
2010-12-03,4.32
2010-12-10,4.43
2010-12-17,4.41
2010-12-24,4.47
2010-12-31,4.34
2011-01-07,4.48
2011-01-14,4.53
2011-01-21,4.57
2011-01-28,4.53
2011-02-04,4.73
2011-02-11,4.71
2011-02-18,4.7
2011-02-25,4.51
2011-03-04,4.6
2011-03-11,4.54
2011-03-18,4.43
2011-03-25,4.51
2011-04-01,4.48
2011-04-08,4.63
2011-04-15,4.47
2011-04-22,4.47
2011-04-29,4.4
2011-05-06,4.29
2011-05-13,4.32
2011-05-20,4.3
2011-05-27,4.24
2011-06-03,4.22
2011-06-10,4.18
2011-06-17,4.19
2011-06-24,4.17
