Date,OPEN,HIGH,LOW,CLOSE
2006-01-06,4.359,4.394,4.257,4.3195
2006-01-13,4.325,4.405,4.28,4.2835
2006-01-20,4.292,4.327,4.232,4.2885
2006-01-27,4.292,4.47,4.28,4.4435
2006-02-03,4.448,4.578,4.439,4.4815
2006-02-10,4.488,4.604,4.465,4.5885
2006-02-17,4.593,4.636,4.544,4.552
2006-02-24,4.546,4.649,4.546,4.6375
2006-03-03,4.636,4.724,4.581,4.7065
2006-03-10,4.711,4.808,4.708,4.7645
2006-03-17,4.769,4.807,4.583,4.6195
2006-03-24,4.624,4.742,4.598,4.6625
2006-03-31,4.668,4.851,4.662,4.8095
2006-04-07,4.816,4.922,4.789,4.9155
2006-04-14,4.92,4.978,4.841,4.967
2006-04-21,4.976,4.978,4.839,4.9145
2006-04-28,4.92,5.055,4.877,4.9125
2006-05-05,4.912,5.045,4.911,4.9795
2006-05-12,4.984,5.087,4.962,5.0785
2006-05-19,5.084,5.091,4.928,4.9645
2006-05-26,4.97,4.991,4.883,4.9425
2006-06-02,4.948,5.063,4.9,4.8985
2006-06-09,4.903,4.988,4.9,4.9365
2006-06-16,4.943,5.111,4.91,5.102
2006-06-23,5.107,5.22,5.097,5.2045
2006-06-30,5.21,5.242,5.098,5.0965
2006-07-07,5.102,5.202,5.094,5.0955
2006-07-14,5.101,5.123,5.009,5.0255
2006-07-21,5.031,5.16,4.951,4.9905
2006-07-28,4.996,5.044,4.912,4.9155
2006-08-04,4.92,4.943,4.814,4.8275
2006-08-11,4.832,4.919,4.832,4.9095
2006-08-18,4.914,4.959,4.772,4.7835
2006-08-25,4.788,4.804,4.745,4.7465
2006-09-01,4.754,4.84,4.68,4.68165
2006-09-08,4.687,4.78,4.687,4.71195
2006-09-15,4.717,4.766,4.678,4.756
2006-09-22,4.76,4.82,4.53,4.54125
2006-09-29,4.5475,4.613,4.4904,4.58035
2006-10-06,4.588,4.656,4.482,4.64015
2006-10-13,4.649,4.784,4.646,4.7606
2006-10-20,4.766,4.779,4.689,4.7613
2006-10-27,4.761,4.825,4.63,4.6347
2006-11-03,4.639,4.6994,4.521,4.69315
2006-11-10,4.683,4.683,4.55,4.5632
2006-11-17,4.564,4.6888,4.522,4.59215
2006-11-24,4.594,4.61,4.515,4.5458
2006-12-01,4.547,4.594,4.361,4.38895
2006-12-08,4.394,4.535,4.352,4.5174
2006-12-15,4.532,4.594,4.436,4.57075
2006-12-22,4.574,4.607,4.508,4.58785
2006-12-29,4.591,4.719,4.515,4.68875
2007-01-05,4.692,4.71,4.568,4.63715
2007-01-12,4.651,4.777,4.646,4.7649
2007-01-19,4.768,4.824,4.723,4.7823
2007-01-26,4.784,4.905,4.757,4.86655
2007-02-02,4.867,4.896,4.759,4.81485
2007-02-09,4.819,4.828,4.714,4.7755
2007-02-16,4.78,4.821,4.646,4.67965
2007-02-23,4.685,4.74,4.646,4.6533
2007-03-02,4.662,4.666,4.409,4.43175
2007-03-09,4.441,4.566,4.375,4.5492
2007-03-16,4.55,4.569,4.38,4.46895
2007-03-23,4.538,4.552,4.411,4.51095
2007-03-30,4.517,4.59,4.431,4.5353
2007-04-06,4.541,4.676,4.519,4.66685
2007-04-13,4.672,4.694,4.61,4.686
2007-04-20,4.692,4.71,4.533,4.5699
2007-04-27,4.576,4.609,4.503,4.58745
2007-05-04,4.592,4.606,4.5,4.55115
2007-05-11,4.556,4.61,4.507,4.58495
2007-05-18,4.592,4.747,4.583,4.7259
2007-05-25,4.734,4.832,4.713,4.79365
2007-06-01,4.811,4.932,4.791,4.92125
2007-06-08,4.925,5.164,4.903,5.0416
2007-06-15,5.064,5.247,5.044,5.08965
2007-06-22,5.083,5.123,4.98,5.0113
2007-06-29,5.017,5.022,4.901,4.92575
2007-07-06,4.937,5.116,4.884,5.08945
2007-07-13,5.092,5.11,4.876,5.0022
2007-07-20,5.011,5.017,4.822,4.8392
2007-07-27,4.84,4.88,4.528,4.5703
2007-08-03,4.572,4.712,4.476,4.4817
2007-08-10,4.478,4.735,4.455,4.5926
2007-08-17,4.593,4.649,4.189,4.36025
2007-08-24,4.381,4.471,4.043,4.4087
2007-08-31,4.414,4.464,4.19,4.2451
2007-09-07,4.256,4.29,4.015,4.03815
2007-09-14,4.032,4.223,3.959,4.1722
2007-09-21,4.181,4.382,4.139,4.29825
2007-09-28,4.307,4.348,4.165,4.25085
2007-10-05,4.245,4.356,4.169,4.3308
2007-10-12,4.338,4.432,4.319,4.41165
2007-10-19,4.418,4.468,4.014,4.03305
2007-10-26,4.019,4.124,3.945,4.05095
2007-11-02,4.053,4.213,3.908,3.94805
2007-11-09,3.955,4.011,3.739,3.73995
2007-11-16,3.748,3.908,3.657,3.7004
2007-11-23,3.699,3.721,3.28,3.40255
2007-11-30,3.409,3.547,3.177,3.39205
2007-12-07,3.402,3.537,3.206,3.4887
2007-12-14,3.506,3.649,3.297,3.63275
2007-12-21,3.63,3.641,3.392,3.57655
2007-12-28,3.589,3.726,3.472,3.49795
2008-01-04,3.503,3.506,3.112,3.1773
2008-01-11,3.186,3.228,3.037,3.04225
2008-01-18,3.051,3.092,2.838,2.8423
2008-01-25,2.546,2.997,2.398,2.7495
2008-02-01,2.777,2.977,2.68,2.74175
2008-02-08,2.74,2.8393,2.596,2.69235
