,VIX
2006-01-06,11.0
2006-01-13,11.23
2006-01-20,14.56
2006-01-27,11.97
2006-02-03,12.96
2006-02-10,12.87
2006-02-17,12.01
2006-02-24,11.46
2006-03-03,11.96
2006-03-10,11.85
2006-03-17,12.12
2006-03-24,11.19
2006-03-31,11.39
2006-04-07,12.26
2006-04-14,12.38
2006-04-21,11.59
2006-04-28,11.59
2006-05-05,11.62
2006-05-12,14.19
2006-05-19,17.18
2006-05-26,14.26
2006-06-02,14.32
2006-06-09,18.12
2006-06-16,17.25
2006-06-23,15.89
2006-06-30,13.08
2006-07-07,13.97
2006-07-14,18.05
2006-07-21,17.4
2006-07-28,14.33
2006-08-04,14.34
2006-08-11,14.3
2006-08-18,11.64
2006-08-25,12.31
2006-09-01,11.96
2006-09-08,13.16
2006-09-15,11.76
2006-09-22,12.59
2006-09-29,11.98
2006-10-06,11.56
2006-10-13,10.75
2006-10-20,10.63
2006-10-27,10.8
2006-11-03,11.16
2006-11-10,10.79
2006-11-17,10.05
2006-11-24,10.73
2006-12-01,11.66
2006-12-08,12.07
2006-12-15,10.05
2006-12-22,11.36
2006-12-29,11.56
2007-01-05,12.14
2007-01-12,10.15
2007-01-19,10.4
2007-01-26,11.13
2007-02-02,10.08
2007-02-09,11.1
2007-02-16,10.02
2007-02-23,10.58
2007-03-02,18.61
2007-03-09,14.09
2007-03-16,16.79
2007-03-23,12.95
2007-03-30,14.64
2007-04-06,13.23
2007-04-13,12.2
2007-04-20,12.07
2007-04-27,12.45
2007-05-04,12.91
2007-05-11,12.95
2007-05-18,12.76
2007-05-25,13.34
2007-06-01,12.78
2007-06-08,14.84
2007-06-15,13.94
2007-06-22,15.75
2007-06-29,16.23
2007-07-06,14.72
2007-07-13,15.15
2007-07-20,16.95
2007-07-27,24.17
2007-08-03,25.16
2007-08-10,28.3
2007-08-17,29.99
2007-08-24,20.72
2007-08-31,23.38
2007-09-07,26.23
2007-09-14,24.92
2007-09-21,19.0
2007-09-28,18.0
2007-10-05,16.91
2007-10-12,17.73
2007-10-19,22.96
2007-10-26,19.56
2007-11-02,23.01
2007-11-09,28.5
2007-11-16,25.49
2007-11-23,25.61
2007-11-30,22.87
2007-12-07,20.85
2007-12-14,23.27
2007-12-21,18.47
2007-12-28,20.74
2008-01-04,23.94
2008-01-11,23.68
2008-01-18,27.18
2008-01-25,29.08
