Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2006-01-06,88.85,539.65,62.86
2006-01-13,88.89,556.875,62.4
2006-01-20,88.95,553.8,66.2
2006-01-27,89.32,559.55,66.36
2006-02-03,89.89,567.65,63.6
2006-02-10,90.55,550.95,59.72
2006-02-17,90.64,552.15,59.85
2006-02-24,90.61,558.95,62.65
2006-03-03,89.66,565.05,64.1
2006-03-10,90.85,540.35,60.92
2006-03-17,88.92,553.85,63.5
2006-03-24,90.07,560.45,63.44
2006-03-31,89.73,583.65,66.18
2006-04-07,89.63,588.45,67.33
2006-04-14,89.62,599.8,70.8
2006-04-21,88.05,634.0,74.5
2006-04-28,86.11,654.5,71.73
2006-05-05,85.12,682.7,70.82
2006-05-12,83.96,714.8,72.04
2006-05-19,84.88,657.6,68.52
2006-05-26,85.26,652.0,70.67
2006-06-02,84.05,638.2,71.48
2006-06-09,85.72,607.45,70.6
2006-06-16,85.92,580.85,69.0
2006-06-23,86.82,583.35,69.9
2006-06-30,85.22,613.1,73.26
2006-07-07,84.98,630.55,73.25
2006-07-14,86.09,665.15,77.35
2006-07-21,85.93,620.75,73.95
2006-07-28,85.44,635.9,73.54
2006-08-04,84.57,646.45,76.13
2006-08-11,85.52,632.7,75.7
2006-08-18,85.09,615.0,72.15
2006-08-25,85.38,623.25,72.65
2006-09-01,84.94,625.5,69.2
2006-09-08,85.95,610.8,65.35
2006-09-15,85.99,579.85,63.47
2006-09-22,85.2,588.3,60.3
2006-09-29,85.97,598.3,62.5
2006-10-06,86.44,573.8,59.79
2006-10-13,87.12,590.0,59.4
2006-10-20,86.27,591.9,59.56
2006-10-27,85.56,600.05,61.12
2006-11-03,85.71,628.0,59.25
2006-11-10,85.05,628.7,59.88
2006-11-17,85.37,622.0,59.0
2006-11-24,83.71,638.2,60.09
2006-12-01,82.48,645.8,64.89
2006-12-08,83.33,625.15,62.39
2006-12-15,84.06,615.25,63.34
2006-12-22,83.94,621.0,62.06
2006-12-29,83.72,636.8,60.79
2007-01-05,84.63,607.4,55.67
2007-01-12,85.03,626.9,52.87
2007-01-19,84.86,635.5,53.51
2007-01-26,85.28,646.6,55.37
2007-02-02,84.96,648.25,58.52
2007-02-09,84.87,666.65,58.8
2007-02-16,84.09,669.05,58.78
2007-02-23,84.07,682.85,60.64
2007-03-02,83.74,642.95,61.63
2007-03-09,84.24,650.275,61.15
2007-03-16,83.23,652.9,60.38
2007-03-23,83.28,657.1,63.2
2007-03-30,82.93,663.6,68.1
2007-04-06,82.99,674.5,68.1
2007-04-13,82.129,685.6,68.96
2007-04-20,81.643,691.35,66.61
2007-04-27,81.529,680.95,68.32
2007-05-04,81.741,688.75,65.25
2007-05-11,82.116,671.05,66.92
2007-05-18,82.197,661.65,69.45
2007-05-25,82.331,656.15,70.74
2007-06-01,82.322,671.45,68.8
2007-06-08,82.691,648.55,68.72
2007-06-15,82.851,655.75,71.55
2007-06-22,82.336,654.35,71.12
2007-06-29,81.92,649.65,71.35
2007-07-06,81.465,655.9,75.5
2007-07-13,80.576,667.3,77.61
2007-07-20,80.288,683.7,77.4
