Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil,US_Treasury_2Y,US_Treasury_5Y,US_Treasury_10Y,US_Treasury_30Y
2006-01-06,88.85,539.65,62.86,4.3555,4.3195,4.379,4.563
2006-01-13,88.89,556.875,62.4,4.3385,4.2835,4.3535,4.5315
2006-01-20,88.95,553.8,66.2,4.3545,4.2885,4.352,4.523
2006-01-27,89.32,559.55,66.36,4.497,4.4435,4.512,4.6965
2006-02-03,89.89,567.65,63.6,4.5745,4.4815,4.526,4.626
2006-02-10,90.55,550.95,59.72,4.6855,4.5885,4.5875,4.5565
2006-02-17,90.64,552.15,59.85,4.6605,4.552,4.535,4.508
2006-02-24,90.61,558.95,62.65,4.722,4.6375,4.574,4.5245
2006-03-03,89.66,565.05,64.1,4.7435,4.7065,4.681,4.6595
2006-03-10,90.85,540.35,60.92,4.7355,4.7645,4.759,4.7495
2006-03-17,88.92,553.85,63.5,4.6425,4.6195,4.673,4.721
2006-03-24,90.07,560.45,63.44,4.7115,4.6625,4.672,4.6945
2006-03-31,89.73,583.65,66.18,4.818,4.8095,4.849,4.8915
2006-04-07,89.63,588.45,67.33,4.9055,4.9155,4.9815,5.061
2006-04-14,89.62,599.8,70.8,4.9485,4.967,5.049,5.1135
2006-04-21,88.05,634.0,74.5,4.9035,4.9145,5.013,5.094
2006-04-28,86.11,654.5,71.73,4.8645,4.9125,5.054,5.1625
2006-05-05,85.12,682.7,70.82,4.9285,4.9795,5.103,5.188
2006-05-12,83.96,714.8,72.04,5.0095,5.0785,5.197,5.31
2006-05-19,84.88,657.6,68.52,4.9675,4.9645,5.06,5.141
2006-05-26,85.26,652.0,70.67,4.9415,4.9425,5.053,5.157
2006-06-02,84.05,638.2,71.48,4.91,4.8985,4.991,5.097
2006-06-09,85.72,607.45,70.6,4.9965,4.9365,4.974,5.0205
2006-06-16,85.92,580.85,69.0,5.1615,5.102,5.1305,5.1695
2006-06-23,86.82,583.35,69.9,5.2635,5.2045,5.225,5.252
2006-06-30,85.22,613.1,73.26,5.154,5.0965,5.1405,5.187
2006-07-07,84.98,630.55,73.25,5.1685,5.0955,5.129,5.172
2006-07-14,86.09,665.15,77.35,5.096,5.0255,5.064,5.1145
2006-07-21,85.93,620.75,73.95,5.0805,4.9905,5.0455,5.098
2006-07-28,85.44,635.9,73.54,4.9795,4.9155,4.991,5.0695
2006-08-04,84.57,646.45,76.13,4.9095,4.8275,4.8945,4.989
2006-08-11,85.52,632.7,75.7,4.9695,4.9095,4.971,5.096
2006-08-18,85.09,615.0,72.15,4.8765,4.7835,4.844,4.978
2006-08-25,85.38,623.25,72.65,4.8605,4.7465,4.782,4.9225
2006-09-01,84.94,625.5,69.2,4.7537,4.68165,4.72065,4.8721
2006-09-08,85.95,610.8,65.35,4.8089,4.71195,4.7728,4.9191
2006-09-15,85.99,579.85,63.47,4.8587,4.756,4.7935,4.91015
2006-09-22,85.2,588.3,60.3,4.6657,4.54125,4.5878,4.73335
2006-09-29,85.97,598.3,62.5,4.685,4.58035,4.63055,4.76195
2006-10-06,86.44,573.8,59.79,4.7417,4.64015,4.69225,4.8343
2006-10-13,87.12,590.0,59.4,4.861,4.7606,4.7987,4.93125
2006-10-20,86.27,591.9,59.56,4.87135,4.7613,4.7885,4.9101
2006-10-27,85.56,600.05,61.12,4.7487,4.6347,4.67445,4.7946
2006-11-03,85.71,628.0,59.25,4.8154,4.69315,4.719,4.8102
2006-11-10,85.05,628.7,59.88,4.7371,4.5632,4.5906,4.6972
2006-11-17,85.37,622.0,59.0,4.7629,4.59215,4.60125,4.68815
2006-11-24,83.71,638.2,60.09,4.7442,4.5458,4.5559,4.6316
