,0
2006-01-01,14208.0
2006-01-08,
2006-01-15,
2006-01-22,
2006-01-29,
2006-02-05,14208.0
2006-02-12,
2006-02-19,
2006-02-26,
2006-03-05,14210.0
2006-03-12,
2006-03-19,
2006-03-26,
2006-04-02,14223.0
2006-04-09,
2006-04-16,
2006-04-23,
2006-04-30,
2006-05-07,14200.0
2006-05-14,
2006-05-21,
2006-05-28,
2006-06-04,14210.0
2006-06-11,
2006-06-18,
2006-06-25,
2006-07-02,14185.0
2006-07-09,
2006-07-16,
2006-07-23,
2006-07-30,
2006-08-06,14154.0
2006-08-13,
2006-08-20,
2006-08-27,
2006-09-03,14120.0
2006-09-10,
2006-09-17,
2006-09-24,
2006-10-01,14068.0
2006-10-08,
2006-10-15,
2006-10-22,
2006-10-29,
2006-11-05,14034.0
2006-11-12,
2006-11-19,
2006-11-26,
2006-12-03,14009.0
2006-12-10,
2006-12-17,
2006-12-24,
2006-12-31,
2007-01-07,14004.0
2007-01-14,
2007-01-21,
2007-01-28,
2007-02-04,13993.0
2007-02-11,
2007-02-18,
2007-02-25,
2007-03-04,13964.0
2007-03-11,
2007-03-18,
2007-03-25,
2007-04-01,13939.0
2007-04-08,
2007-04-15,
2007-04-22,
2007-04-29,
2007-05-06,13922.0
2007-05-13,
2007-05-20,
2007-05-27,
2007-06-03,13903.0
2007-06-10,
2007-06-17,
2007-06-24,
2007-07-01,13881.0
2007-07-08,
2007-07-15,
2007-07-22,
2007-07-29,
2007-08-05,13821.0
2007-08-12,
2007-08-19,
2007-08-26,
2007-09-02,13784.0
2007-09-09,
2007-09-16,
2007-09-23,
2007-09-30,
2007-10-07,13756.0
2007-10-14,
2007-10-21,
2007-10-28,
2007-11-04,13751.0
2007-11-11,
2007-11-18,
2007-11-25,
2007-12-02,13739.0
2007-12-09,
2007-12-16,
2007-12-23,
2007-12-30,
2008-01-06,13717.0
2008-01-13,
2008-01-20,
2008-01-27,
2008-02-03,13690.0
2008-02-10,
2008-02-17,
2008-02-24,
2008-03-02,13650.0
2008-03-09,
2008-03-16,
2008-03-23,
2008-03-30,
2008-04-06,13589.0
2008-04-13,
2008-04-20,
2008-04-27,
2008-05-04,13555.0
2008-05-11,
2008-05-18,
2008-05-25,
2008-06-01,13494.0
2008-06-08,
2008-06-15,
2008-06-22,
2008-06-29,
2008-07-06,13419.0
2008-07-13,
2008-07-20,
2008-07-27,
2008-08-03,13348.0
2008-08-10,
2008-08-17,
2008-08-24,
2008-08-31,
2008-09-07,13267.0
2008-09-14,
2008-09-21,
2008-09-28,
2008-10-05,13138.0
2008-10-12,
2008-10-19,
2008-10-26,
2008-11-02,13026.0
2008-11-09,
2008-11-16,
2008-11-23,
2008-11-30,
2008-12-07,12842.0
2008-12-14,
2008-12-21,
2008-12-28,
2009-01-04,12552.0
2009-01-11,
2009-01-18,
2009-01-25,
2009-02-01,12371.0
2009-02-08,
2009-02-15,
2009-02-22,
2009-03-01,12196.0
2009-03-08,
2009-03-15,
2009-03-22,
2009-03-29,
2009-04-05,12017.0
2009-04-12,
2009-04-19,
2009-04-26,
2009-05-03,11850.0
2009-05-10,
2009-05-17,
2009-05-24,
2009-05-31,
2009-06-07,11713.0
2009-06-14,
2009-06-21,
2009-06-28,
2009-07-05,11654.0
2009-07-12,
2009-07-19,
2009-07-26,
2009-08-02,11612.0
2009-08-09,
2009-08-16,
2009-08-23,
2009-08-30,
2009-09-06,11580.0
2009-09-13,
2009-09-20,
2009-09-27,
2009-10-04,11527.0
2009-10-11,
2009-10-18,
2009-10-25,
2009-11-01,11498.0
2009-11-08,
2009-11-15,
2009-11-22,
2009-11-29,
2009-12-06,11465.0
2009-12-13,
2009-12-20,
2009-12-27,
2010-01-03,11447.0
2010-01-10,
2010-01-17,
2010-01-24,
2010-01-31,
2010-02-07,11439.0
2010-02-14,
2010-02-21,
2010-02-28,
2010-03-07,11439.0
2010-03-14,
2010-03-21,
2010-03-28,
2010-04-04,11475.0
2010-04-11,
2010-04-18,
2010-04-25,
2010-05-02,11511.0
2010-05-09,
2010-05-16,
2010-05-23,
2010-05-30,
2010-06-06,11529.0
2010-06-13,
2010-06-20,
2010-06-27,
2010-07-04,11546.0
2010-07-11,
2010-07-18,
2010-07-25,
2010-08-01,11538.0
2010-08-08,
2010-08-15,
2010-08-22,
2010-08-29,
2010-09-05,11549.0
2010-09-12,
2010-09-19,
2010-09-26,
2010-10-03,11548.0
2010-10-10,
